topic_i,topic_j,phi,label_cosine,divergence
Environmental Protection General,Prevention of marine pollution,0.16,0.08058831116916008,-0.5787878787878789
Operation of the Antarctic Treaty system Reports,Operation of the CEP,0.2,0.4093170739033303,-0.5803030303030303
Environmental Domains Analysis,Operational issues,0.05263157894736842,0.022067167239434225,-0.5828282828282828
Cooperation with Other Organisations,Repair and remediation of environmental damage,0.14285714285714285,0.054444099051432215,-0.5893939393939394
Institutional and legal matters,Prevention of marine pollution,0.15384615384615385,0.0743122145123932,-0.5919191919191918
Opening statements,Operation of the CEP,0.13793103448275862,0.051768179416216364,-0.593939393939394
Environmental Domains Analysis,Opening statements,0.034482758620689655,0.020952153667741055,-0.5969696969696969
Cooperation with Other Organisations,Prevention of marine pollution,0.14285714285714285,0.06323417528183425,-0.6035353535353536
Drilling,Environmental Monitoring and Reporting,0.15,0.07373608515748103,-0.6050505050505051
Human Footprint and wilderness values,Science issues,0.08333333333333333,0.033421962760347264,-0.6050505050505051
Drilling,Opening statements,0.13793103448275862,0.05697275133401887,-0.606060606060606
Tourism and NG_Activities,Waste management and disposal,0.07692307692307693,0.03180353615817252,-0.606060606060606
Educational issues,Environmental Domains Analysis,0.0,0.01881779885467365,-0.6060606060606061
International Polar Year,Search and Rescue,0.0,0.01895856959906414,-0.6070707070707071
Historic Sites and Monuments,Operation of the Antarctic Treaty system Reports,0.05,0.02523285496651027,-0.6085858585858587
Area Protection and Management Plans General,Opening statements,0.13793103448275862,0.05815330200033566,-0.6090909090909091
Marine Acoustics,Marine Protected Areas,0.18181818181818182,0.2514044822198592,-0.6111111111111112
Area Protection and Management Plans General,Operation of the Antarctic Treaty system The Secretariat,0.11764705882352941,0.045302124148664136,-0.6116161616161616
Marine Acoustics,Operation of the Antarctic Treaty system The Secretariat,0.0,0.02026317329476788,-0.6121212121212121
Environmental Monitoring and Reporting,Site Guidelines for Visitors,0.1,0.03960593233709744,-0.6176767676767677
Mineral resources,Operation of the Antarctic Treaty system General,0.15384615384615385,0.10890051197176379,-0.6212121212121212
Drilling,Site Guidelines for Visitors,0.0,0.024123290171360876,-0.6313131313131313
Exchange of Information,State of the Antarctic Environment Report SAER,0.0,0.02482194012438112,-0.6383838383838384
Cooperation with Other Organisations,Operational issues,0.15789473684210525,0.19988377112487404,-0.6459595959595958
Environmental Domains Analysis,Waste management and disposal,0.07692307692307693,0.03812752357809134,-0.6484848484848484
Operation of the Antarctic Treaty system The Secretariat,Operation of the CEP,0.17647058823529413,0.4046464010673605,-0.6590909090909092
Prevention of marine pollution,State of the Antarctic Environment Report SAER,0.0,0.027928007232496777,-0.6606060606060606
Environmental Protection General,State of the Antarctic Environment Report SAER,0.16,0.2558208671664657,-0.6606060606060606
Emergency report and contingency planning,Environmental Monitoring and Reporting,0.15,0.1829349312803613,-0.6636363636363636
Environmental Monitoring and Reporting,Search and Rescue,0.1,0.04887821361436667,-0.6702020202020202
Area Protection and Management Plans General,Environmental Domains Analysis,0.07692307692307693,0.04231578388246342,-0.6737373737373737
Cooperation with Other Organisations,Environmental Impact Assessment EIA Other EIA Matters,0.13636363636363635,0.1188067619633846,-0.6762626262626263
Environmental Domains Analysis,Inspections,0.05263157894736842,0.034395004851335495,-0.6767676767676767
Exchange of Information,Operation of the CEP,0.13636363636363635,0.13605414235134147,-0.6873737373737374
Specially Protected Species,Sub glacial Lakes,0.1,0.06276349545198093,-0.7035353535353536
Operation of the Antarctic Treaty system General,Operation of the CEP,0.15384615384615385,0.42491297889962026,-0.712121212121212
Biological Prospecting,Drilling,0.07142857142857142,0.04759462290457682,-0.7151515151515152
Environmental Monitoring and Reporting,Marine living resources,0.1,0.0699174914873184,-0.7156565656565657
Environmental Impact Assessment EIA Other EIA Matters,State of the Antarctic Environment Report SAER,0.13636363636363635,0.20658406224447803,-0.7166666666666667
Biological Prospecting,Emergency report and contingency planning,0.07142857142857142,0.04800275308731804,-0.7171717171717172
Cooperation with Other Organisations,Operation of the CEP,0.14285714285714285,0.2665740412609177,-0.7176767676767677
Cooperation with Other Organisations,Operation of the Antarctic Treaty system The Secretariat,0.11764705882352941,0.13089855325234712,-0.7227272727272727
Operation of the CEP,Prevention of marine pollution,0.1111111111111111,0.13383168121049835,-0.7439393939393939
Cooperation with Other Organisations,Inspections,0.10526315789473684,0.11985867891664824,-0.743939393939394
Cooperation with Other Organisations,Operation of the Antarctic Treaty system General,0.11538461538461539,0.15581887486201176,-0.747979797979798
Area Protection and Management Plans General,Biological Prospecting,0.07142857142857142,0.06072034398651233,-0.7505050505050506
Cooperation with Other Organisations,Safety and Operations in Antarctica,0.11764705882352941,0.198788264387484,-0.753030303030303
Environmental Domains Analysis,Management Plans,0.0625,0.053131212167459516,-0.7631313131313132
International Polar Year,Prevention of marine pollution,0.07142857142857142,0.07352837066832371,-0.7717171717171718
Operation of the CEP,Safety and Operations in Antarctica,0.11764705882352941,0.27505369768774207,-0.7823232323232323
Environmental Domains Analysis,Environmental Protection General,0.12,0.3427749920647387,-0.7888888888888889
Marine Acoustics,Marine living resources,0.1111111111111111,0.2361192862598297,-0.7893939393939394
Cooperation with Other Organisations,Exchange of Information,0.045454545454545456,0.06939499210486577,-0.8095959595959596
Educational issues,Operation of the CEP,0.038461538461538464,0.0638274054274666,-0.8116161616161616
Comprehensive Environmental Evaluations,Cooperation with Other Organisations,0.06666666666666667,0.09429590882229946,-0.8126262626262626
Environmental Domains Analysis,Environmental Impact Assessment EIA Other EIA Matters,0.09090909090909091,0.2290699824232236,-0.8186868686868687
Environmental Domains Analysis,Environmental Monitoring and Reporting,0.1,0.28470227423594063,-0.8227272727272728
Operation of the CEP,Operational issues,0.10526315789473684,0.3909304987811834,-0.8257575757575758
Environmental Monitoring and Reporting,State of the Antarctic Environment Report SAER,0.1,0.3301847526897035,-0.8328282828282828
Environmental Domains Analysis,Repair and remediation of environmental damage,0.08333333333333333,0.2619975281566379,-0.8414141414141414
Operation of the Antarctic Treaty system Reports,State of the Antarctic Environment Report SAER,0.1,0.40686609724952305,-0.842929292929293
Opening statements,State of the Antarctic Environment Report SAER,0.06896551724137931,0.17594430556080448,-0.8434343434343434
Comprehensive Environmental Evaluations,State of the Antarctic Environment Report SAER,0.06666666666666667,0.1841994454943027,-0.851010101010101
Operation of the Antarctic Treaty system General,State of the Antarctic Environment Report SAER,0.07692307692307693,0.29233149687933596,-0.8606060606060606
Comprehensive Environmental Evaluations,Environmental Domains Analysis,0.06666666666666667,0.2581496933309629,-0.8853535353535353
Safety and Operations in Antarctica,State of the Antarctic Environment Report SAER,0.058823529411764705,0.22272801151584798,-0.8863636363636364
Emergency report and contingency planning,State of the Antarctic Environment Report SAER,0.0,0.13786015890111492,-0.895959595959596
Operation of the Antarctic Treaty system The Secretariat,State of the Antarctic Environment Report SAER,0.058823529411764705,0.28107025848306433,-0.9055555555555556
