member,period_end,from_topic,to_topic,distance
Chile,2010,Prevention of marine pollution,Site Guidelines for Visitors,0.6666666666666667
Ecuador,2010,Fauna and Flora_General,Climate Change,0.5625
France,2010,CEP Strategy Discussions,Cooperation with Other Organisations,0.7142857142857143
France,2010,Inspections,Nonnative Species and Quarantine,0.5789473684210527
France,2010,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
France,2010,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Germany,2010,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
Germany,2010,Comprehensive Environmental Evaluations,Waste management and disposal,0.6
IAATO,2010,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
Italy,2010,Area Protection and Management Plans General,Marine Protected Areas,0.6153846153846154
Japan,2010,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
Japan,2010,Exchange of Information,Inspections,0.5
New Zealand,2010,Inspections,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
New Zealand,2010,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
New Zealand,2010,Area Protection and Management Plans General,Management Plans,0.4375
New Zealand,2010,Nonnative Species and Quarantine,Prevention of marine pollution,0.6666666666666667
Norway,2010,Inspections,International Polar Year,0.6842105263157895
Romania,2010,Area Protection and Management Plans General,Climate Change,0.6875
Romania,2010,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Russian Federation,2010,Management Plans,Comprehensive Environmental Evaluations,0.5625
Russian Federation,2010,Science issues,Educational issues,0.3846153846153846
SCAR,2010,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
South Africa,2010,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
South Africa,2010,Environmental Impact Assessment EIA Other EIA Matters,Waste management and disposal,0.5909090909090908
Spain,2010,Management Plans,Area Protection and Management Plans General,0.4375
Spain,2010,Climate Change,Fauna and Flora_General,0.5625
Spain,2010,Management Plans,Nonnative Species and Quarantine,0.5625
United Kingdom,2010,Fauna and Flora_General,Emergency report and contingency planning,0.625
United Kingdom,2010,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
United Kingdom,2010,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
United Kingdom,2010,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
United States,2010,Waste management and disposal,Emergency report and contingency planning,0.6153846153846154
United States,2010,Management Plans,Historic Sites and Monuments,0.4375
United States,2010,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Uruguay,2010,Exchange of Information,Environmental Protection General,0.48
Uruguay,2010,Nonnative Species and Quarantine,Historic Sites and Monuments,0.6
ASOC,2011,Climate Change,CEP Strategy Discussions,0.5625
ASOC,2011,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
ASOC,2011,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Australia,2011,Management Plans,Area Protection and Management Plans General,0.4375
Australia,2011,Management Plans,Comprehensive Environmental Evaluations,0.5625
Australia,2011,Environmental Protection General,Inspections,0.52
Bulgaria,2011,Science issues,Educational issues,0.3846153846153846
Bulgaria,2011,Biological Prospecting,Tourism and NG_Activities,0.7857142857142857
COMNAP,2011,Operation of the Antarctic Treaty system Reports,Climate Change,0.7
Chile,2011,Educational issues,Science issues,0.3846153846153846
China,2011,Management Plans,Historic Sites and Monuments,0.4375
Czechia,2011,Environmental Protection General,Human Footprint and wilderness values,0.64
Ecuador,2011,Climate Change,Site Guidelines for Visitors,0.75
Finland,2011,Operational issues,Environmental Protection General,0.56
Germany,2011,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Germany,2011,Area Protection and Management Plans General,Operation of the CEP,0.6923076923076923
Germany,2011,Area Protection and Management Plans General,Search and Rescue,0.6153846153846154
IAATO,2011,Fauna and Flora_General,Operation of the Antarctic Treaty system Reports,0.6
IUCN,2011,Operation of the Antarctic Treaty system Reports,Climate Change,0.7
India,2011,Management Plans,Nonnative Species and Quarantine,0.5625
Korea (ROK),2011,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
Netherlands,2011,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Netherlands,2011,Environmental Protection General,Tourism and NG_Activities,0.72
New Zealand,2011,Environmental Impact Assessment EIA Other EIA Matters,Educational issues,0.5769230769230769
Norway,2011,Management Plans,Area Protection and Management Plans General,0.4375
Norway,2011,Management Plans,Comprehensive Environmental Evaluations,0.5625
Peru,2011,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Romania,2011,Climate Change,Area Protection and Management Plans General,0.6875
Russian Federation,2011,Inspections,Area Protection and Management Plans General,0.5789473684210527
Russian Federation,2011,Climate Change,Biological Prospecting,0.625
Russian Federation,2011,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
SCAR,2011,Climate Change,Biological Prospecting,0.625
SCAR,2011,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
UNEP,2011,Educational issues,Environmental Protection General,0.6153846153846154
Ukraine,2011,Environmental Protection General,Climate Change,0.72
United Kingdom,2011,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
United Kingdom,2011,Comprehensive Environmental Evaluations,Environmental Monitoring and Reporting,0.6
United Kingdom,2011,Area Protection and Management Plans General,Management Plans,0.4375
United Kingdom,2011,Marine Protected Areas,Search and Rescue,0.5454545454545454
United Kingdom,2011,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
United States,2011,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
United States,2011,Management Plans,Operation of the CEP,0.6875
Uruguay,2011,Nonnative Species and Quarantine,Area Protection and Management Plans General,0.4666666666666667
Uruguay,2011,Prevention of marine pollution,Human Footprint and wilderness values,0.6363636363636364
ASOC,2012,Safety and Operations in Antarctica,Emergency report and contingency planning,0.5882352941176471
Argentina,2012,Historic Sites and Monuments,Management Plans,0.4375
Argentina,2012,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Australia,2012,CEP Strategy Discussions,Climate Change,0.5625
Australia,2012,Waste management and disposal,Emergency report and contingency planning,0.6153846153846154
Australia,2012,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Belgium,2012,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Brazil,2012,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
COMNAP,2012,Climate Change,CEP Strategy Discussions,0.5625
Chile,2012,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
China,2012,Exchange of Information,Environmental Protection General,0.48
Germany,2012,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Germany,2012,Operational issues,Exchange of Information,0.4545454545454546
Germany,2012,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
IUCN,2012,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
IUCN,2012,Nonnative Species and Quarantine,Management Plans,0.5625
Japan,2012,Educational issues,Climate Change,0.6923076923076923
Korea (ROK),2012,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Korea (ROK),2012,Area Protection and Management Plans General,Management Plans,0.4375
Netherlands,2012,Tourism and NG_Activities,Human Footprint and wilderness values,0.6363636363636364
Netherlands,2012,Environmental Protection General,Operational issues,0.56
New Zealand,2012,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
New Zealand,2012,Educational issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Romania,2012,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Russian Federation,2012,Science issues,Educational issues,0.3846153846153846
Russian Federation,2012,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
Russian Federation,2012,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
SCAR,2012,Climate Change,CEP Strategy Discussions,0.5625
South Africa,2012,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Spain,2012,Exchange of Information,Environmental Protection General,0.48
Sweden,2012,Inspections,Operation of the Antarctic Treaty system General,0.5
UNEP,2012,Environmental Protection General,Inspections,0.52
ASOC,2013,Environmental Impact Assessment EIA Other EIA Matters,Environmental Monitoring and Reporting,0.5909090909090908
Argentina,2013,Science issues,Educational issues,0.3846153846153846
Argentina,2013,Operational issues,Exchange of Information,0.4545454545454546
Belgium,2013,Biological Prospecting,CEP Strategy Discussions,0.5714285714285714
Belgium,2013,Cooperation with Other Organisations,Fauna and Flora_General,0.625
Belgium,2013,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Belgium,2013,Exchange of Information,Operational issues,0.4545454545454546
Brazil,2013,Safety and Operations in Antarctica,Emergency report and contingency planning,0.5882352941176471
Brazil,2013,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
CCAMLR,2013,Cooperation with Other Organisations,Search and Rescue,0.7857142857142857
COMNAP,2013,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
COMNAP,2013,CEP Strategy Discussions,Human Footprint and wilderness values,0.5833333333333333
COMNAP,2013,Emergency report and contingency planning,Search and Rescue,0.6363636363636364
Chile,2013,Educational issues,Cooperation with Other Organisations,0.7692307692307692
China,2013,Management Plans,Area Protection and Management Plans General,0.4375
China,2013,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
China,2013,Exchange of Information,Science issues,0.5833333333333333
Ecuador,2013,Fauna and Flora_General,Climate Change,0.5625
France,2013,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
France,2013,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
France,2013,Exchange of Information,Operational issues,0.4545454545454546
Germany,2013,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
Germany,2013,Exchange of Information,Inspections,0.5
Germany,2013,Search and Rescue,Marine Protected Areas,0.5454545454545454
Germany,2013,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
IAATO,2013,Fauna and Flora_General,Climate Change,0.5625
IAATO,2013,Fauna and Flora_General,Safety and Operations in Antarctica,0.7647058823529411
IHO,2013,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
IHO,2013,Operation of the Antarctic Treaty system Reports,Operational issues,0.6
India,2013,Management Plans,Area Protection and Management Plans General,0.4375
India,2013,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
India,2013,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Italy,2013,Management Plans,Comprehensive Environmental Evaluations,0.5625
Italy,2013,Environmental Impact Assessment EIA Other EIA Matters,Environmental Monitoring and Reporting,0.5909090909090908
Italy,2013,Exchange of Information,Inspections,0.5
Italy,2013,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Japan,2013,Climate Change,Cooperation with Other Organisations,0.75
Japan,2013,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Korea (ROK),2013,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Netherlands,2013,Operation of the Antarctic Treaty system General,Inspections,0.5
Netherlands,2013,Human Footprint and wilderness values,Marine Protected Areas,0.4545454545454546
New Zealand,2013,Management Plans,Comprehensive Environmental Evaluations,0.5625
New Zealand,2013,Fauna and Flora_General,Emergency report and contingency planning,0.625
New Zealand,2013,Educational issues,Exchange of Information,0.5
New Zealand,2013,Management Plans,Historic Sites and Monuments,0.4375
New Zealand,2013,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Norway,2013,Climate Change,CEP Strategy Discussions,0.5625
Norway,2013,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
Peru,2013,Fauna and Flora_General,Management Plans,0.625
SCAR,2013,Science issues,Environmental Protection General,0.6
South Africa,2013,Exchange of Information,Environmental Protection General,0.48
South Africa,2013,Exchange of Information,Inspections,0.5
Spain,2013,Exchange of Information,Inspections,0.5
Spain,2013,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Ukraine,2013,Environmental Impact Assessment EIA Other EIA Matters,Management Plans,0.5454545454545454
United Kingdom,2013,Management Plans,Historic Sites and Monuments,0.4375
United Kingdom,2013,Marine Protected Areas,Liability,0.6470588235294117
United States,2013,Emergency report and contingency planning,Safety and Operations in Antarctica,0.5882352941176471
Uruguay,2013,Exchange of Information,Inspections,0.5
Uruguay,2013,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
Venezuela,2013,Science issues,Cooperation with Other Organisations,0.8333333333333334
Venezuela,2013,Science issues,Educational issues,0.3846153846153846
WMO,2013,Operation of the Antarctic Treaty system General,Operational issues,0.6923076923076923
ASOC,2014,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Argentina,2014,Exchange of Information,Biological Prospecting,0.5909090909090908
Argentina,2014,Management Plans,Fauna and Flora_General,0.625
Australia,2014,Management Plans,Comprehensive Environmental Evaluations,0.5625
Australia,2014,Inspections,Site Guidelines for Visitors,0.6842105263157895
Belarus,2014,Cooperation with Other Organisations,Comprehensive Environmental Evaluations,0.9333333333333333
Belgium,2014,Operational issues,Comprehensive Environmental Evaluations,0.631578947368421
Belgium,2014,Operation of the Antarctic Treaty system General,Educational issues,0.5769230769230769
Brazil,2014,Science issues,Educational issues,0.3846153846153846
COMNAP,2014,Operation of the Antarctic Treaty system Reports,Educational issues,0.6153846153846154
COMNAP,2014,Nonnative Species and Quarantine,Waste management and disposal,0.6
Chile,2014,Operational issues,Exchange of Information,0.4545454545454546
China,2014,Management Plans,Comprehensive Environmental Evaluations,0.5625
Ecuador,2014,Exchange of Information,Biological Prospecting,0.5909090909090908
Ecuador,2014,Environmental Impact Assessment EIA Other EIA Matters,Management Plans,0.5454545454545454
Ecuador,2014,Climate Change,Site Guidelines for Visitors,0.75
Finland,2014,Environmental Protection General,Tourism and NG_Activities,0.72
France,2014,Exchange of Information,Environmental Protection General,0.48
France,2014,Exchange of Information,Inspections,0.5
France,2014,Comprehensive Environmental Evaluations,Institutional and legal matters,0.6
France,2014,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
France,2014,Comprehensive Environmental Evaluations,Operation of the CEP,0.8
Germany,2014,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
India,2014,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Italy,2014,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Malaysia,2014,Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system Reports,0.7692307692307692
New Zealand,2014,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
New Zealand,2014,Emergency report and contingency planning,Tourism and NG_Activities,0.6363636363636364
Norway,2014,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Norway,2014,Safety and Operations in Antarctica,Institutional and legal matters,0.47058823529411764
Poland,2014,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Portugal,2014,Climate Change,Educational issues,0.6923076923076923
Romania,2014,Exchange of Information,Biological Prospecting,0.5909090909090908
Russian Federation,2014,Climate Change,Biological Prospecting,0.625
Russian Federation,2014,Safety and Operations in Antarctica,Emergency report and contingency planning,0.5882352941176471
Russian Federation,2014,Inspections,Marine Protected Areas,0.5789473684210527
South Africa,2014,Environmental Protection General,Liability,0.52
South Africa,2014,Operational issues,Safety and Operations in Antarctica,0.631578947368421
South Africa,2014,Inspections,Tourism and NG_Activities,0.6842105263157895
Sweden,2014,Operation of the Antarctic Treaty system General,Inspections,0.5
United Kingdom,2014,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
WMO,2014,Operational issues,Climate Change,0.736842105263158
ASOC,2015,CEP Strategy Discussions,Biological Prospecting,0.5714285714285714
Argentina,2015,Fauna and Flora_General,Nonnative Species and Quarantine,0.4375
Argentina,2015,Management Plans,Repair and remediation of environmental damage,0.375
Australia,2015,Environmental Protection General,Exchange of Information,0.48
Belarus,2015,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Brazil,2015,Environmental Impact Assessment EIA Other EIA Matters,Repair and remediation of environmental damage,0.5909090909090908
Bulgaria,2015,Tourism and NG_Activities,Historic Sites and Monuments,0.6923076923076923
CCAMLR,2015,Operation of the Antarctic Treaty system Reports,Educational issues,0.6153846153846154
COMNAP,2015,Operational issues,Operation of the Antarctic Treaty system The Secretariat,0.631578947368421
Chile,2015,Exchange of Information,Environmental Protection General,0.48
Chile,2015,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Colombia,2015,Operation of the Antarctic Treaty system General,Safety and Operations in Antarctica,0.7692307692307692
Colombia,2015,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Czechia,2015,Human Footprint and wilderness values,Climate Change,0.75
Czechia,2015,Science issues,Environmental Impact Assessment EIA Other EIA Matters,0.5
Czechia,2015,Human Footprint and wilderness values,Inspections,0.5789473684210527
Ecuador,2015,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Finland,2015,Environmental Protection General,Liability,0.52
Finland,2015,Environmental Protection General,Science issues,0.6
Germany,2015,Marine Protected Areas,Tourism and NG_Activities,0.5454545454545454
IAATO,2015,Operation of the Antarctic Treaty system Reports,Operational issues,0.6
Italy,2015,Science issues,Educational issues,0.3846153846153846
Korea (ROK),2015,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
Malaysia,2015,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Netherlands,2015,Environmental Protection General,Liability,0.52
New Zealand,2015,Emergency report and contingency planning,Fauna and Flora_General,0.625
New Zealand,2015,Management Plans,Historic Sites and Monuments,0.4375
New Zealand,2015,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
Norway,2015,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Norway,2015,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
Norway,2015,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
Poland,2015,Management Plans,Nonnative Species and Quarantine,0.5625
Portugal,2015,Educational issues,Science issues,0.3846153846153846
Russian Federation,2015,Inspections,Exchange of Information,0.5
Russian Federation,2015,Inspections,Operation of the Antarctic Treaty system General,0.5
South Africa,2015,Science issues,Educational issues,0.3846153846153846
South Africa,2015,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Spain,2015,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Sweden,2015,Operation of the Antarctic Treaty system General,Liability,0.5769230769230769
Ukraine,2015,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
United Kingdom,2015,Area Protection and Management Plans General,Inspections,0.5789473684210527
United Kingdom,2015,Area Protection and Management Plans General,Institutional and legal matters,0.6153846153846154
United States,2015,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
United States,2015,Management Plans,Repair and remediation of environmental damage,0.375
Uruguay,2015,Educational issues,Science issues,0.3846153846153846
ASOC,2016,Human Footprint and wilderness values,Area Protection and Management Plans General,0.46153846153846156
Argentina,2016,Exchange of Information,Inspections,0.5
Argentina,2016,Tourism and NG_Activities,Marine Protected Areas,0.5454545454545454
Argentina,2016,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Australia,2016,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Australia,2016,Exchange of Information,Operational issues,0.4545454545454546
Belarus,2016,Comprehensive Environmental Evaluations,Environmental Impact Assessment EIA Other EIA Matters,0.5909090909090908
Belarus,2016,Comprehensive Environmental Evaluations,Safety and Operations in Antarctica,0.7647058823529411
Belgium,2016,Educational issues,Science issues,0.3846153846153846
Brazil,2016,Operational issues,Exchange of Information,0.4545454545454546
COMNAP,2016,Safety and Operations in Antarctica,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
COMNAP,2016,Educational issues,Science issues,0.3846153846153846
Chile,2016,Area Protection and Management Plans General,Marine Protected Areas,0.6153846153846154
Chile,2016,Exchange of Information,Operation of the Antarctic Treaty system The Secretariat,0.5454545454545454
Chile,2016,Site Guidelines for Visitors,Tourism and NG_Activities,0.5
China,2016,Environmental Protection General,Inspections,0.52
Colombia,2016,Science issues,Educational issues,0.3846153846153846
Colombia,2016,Science issues,Operation of the Antarctic Treaty system Reports,0.6666666666666667
Czechia,2016,Inspections,Operation of the Antarctic Treaty system General,0.5
Finland,2016,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
France,2016,Comprehensive Environmental Evaluations,Historic Sites and Monuments,0.6
IAATO,2016,Safety and Operations in Antarctica,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
IAATO,2016,Climate Change,Fauna and Flora_General,0.5625
IAATO,2016,Operational issues,Historic Sites and Monuments,0.631578947368421
India,2016,Environmental Protection General,Tourism and NG_Activities,0.72
Italy,2016,Inspections,Operation of the Antarctic Treaty system General,0.5
Japan,2016,International Polar Year,Operation of the CEP,0.7142857142857143
Japan,2016,Inspections,Tourism and NG_Activities,0.6842105263157895
Korea (ROK),2016,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
Korea (ROK),2016,Environmental Impact Assessment EIA Other EIA Matters,Inspections,0.5454545454545454
Korea (ROK),2016,Area Protection and Management Plans General,Nonnative Species and Quarantine,0.4666666666666667
Korea (ROK),2016,Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system General,0.5769230769230769
New Zealand,2016,Management Plans,Comprehensive Environmental Evaluations,0.5625
New Zealand,2016,Exchange of Information,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
New Zealand,2016,Exchange of Information,Environmental Protection General,0.48
New Zealand,2016,Human Footprint and wilderness values,Operation of the CEP,0.5454545454545454
Norway,2016,Management Plans,Historic Sites and Monuments,0.4375
Norway,2016,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Norway,2016,CEP Strategy Discussions,Operation of the CEP,0.5833333333333333
Poland,2016,Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system General,0.5769230769230769
Portugal,2016,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Russian Federation,2016,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
SCAR,2016,CEP Strategy Discussions,Operation of the CEP,0.5833333333333333
SCAR,2016,Environmental Protection General,Operational issues,0.56
South Africa,2016,Environmental Protection General,Operational issues,0.56
Spain,2016,Management Plans,Operation of the CEP,0.6875
Sweden,2016,Inspections,Historic Sites and Monuments,0.631578947368421
Ukraine,2016,Tourism and NG_Activities,Site Guidelines for Visitors,0.5
United Kingdom,2016,Inspections,Environmental Protection General,0.52
United Kingdom,2016,Management Plans,Historic Sites and Monuments,0.4375
United States,2016,Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system The Secretariat,0.6363636363636364
Uruguay,2016,Inspections,Operation of the Antarctic Treaty system General,0.5
WMO,2016,Climate Change,Cooperation with Other Organisations,0.75
WMO,2016,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
WMO,2016,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
ASOC,2017,Safety and Operations in Antarctica,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
Argentina,2017,Biological Prospecting,CEP Strategy Discussions,0.5714285714285714
Argentina,2017,Management Plans,Safety and Operations in Antarctica,0.5882352941176471
Australia,2017,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
Australia,2017,Management Plans,Repair and remediation of environmental damage,0.375
Australia,2017,Emergency report and contingency planning,Safety and Operations in Antarctica,0.5882352941176471
Belarus,2017,Environmental Impact Assessment EIA Other EIA Matters,Repair and remediation of environmental damage,0.5909090909090908
Belarus,2017,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Belgium,2017,CEP Strategy Discussions,Climate Change,0.5625
Belgium,2017,Environmental Protection General,Environmental Impact Assessment EIA Other EIA Matters,0.48
COMNAP,2017,Operational issues,Exchange of Information,0.4545454545454546
Chile,2017,Environmental Protection General,Inspections,0.52
Chile,2017,Management Plans,Nonnative Species and Quarantine,0.5625
Chile,2017,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
China,2017,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Ecuador,2017,Management Plans,Repair and remediation of environmental damage,0.375
Ecuador,2017,Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.5454545454545454
Ecuador,2017,Environmental Impact Assessment EIA Other EIA Matters,Science issues,0.5
Finland,2017,Biological Prospecting,Climate Change,0.625
Finland,2017,Science issues,Safety and Operations in Antarctica,0.6666666666666667
Germany,2017,Fauna and Flora_General,Climate Change,0.5625
Germany,2017,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Italy,2017,Environmental Impact Assessment EIA Other EIA Matters,Management Plans,0.5454545454545454
Italy,2017,Environmental Impact Assessment EIA Other EIA Matters,Repair and remediation of environmental damage,0.5909090909090908
Japan,2017,Operation of the CEP,Management Plans,0.6875
Korea (ROK),2017,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Monaco,2017,Fauna and Flora_General,Climate Change,0.5625
Netherlands,2017,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
New Zealand,2017,Management Plans,Area Protection and Management Plans General,0.4375
Peru,2017,Management Plans,Educational issues,0.6923076923076923
Peru,2017,Management Plans,Safety and Operations in Antarctica,0.5882352941176471
Peru,2017,Management Plans,Science issues,0.8333333333333334
Poland,2017,Nonnative Species and Quarantine,Climate Change,0.75
Poland,2017,Nonnative Species and Quarantine,Fauna and Flora_General,0.4375
Romania,2017,Science issues,Educational issues,0.3846153846153846
Russian Federation,2017,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Russian Federation,2017,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
SCAR,2017,Nonnative Species and Quarantine,Area Protection and Management Plans General,0.4666666666666667
SCAR,2017,Environmental Monitoring and Reporting,Science issues,0.5416666666666667
Spain,2017,Fauna and Flora_General,Climate Change,0.5625
Sweden,2017,Biological Prospecting,Climate Change,0.625
Türkiye,2017,Science issues,Educational issues,0.3846153846153846
Türkiye,2017,Science issues,Operation of the Antarctic Treaty system General,0.5769230769230769
Türkiye,2017,Science issues,Operation of the Antarctic Treaty system The Secretariat,0.7083333333333333
United Kingdom,2017,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
United Kingdom,2017,Management Plans,Repair and remediation of environmental damage,0.375
United States,2017,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
United States,2017,Area Protection and Management Plans General,Fauna and Flora_General,0.5625
WMO,2017,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
ASOC,2018,Environmental Impact Assessment EIA Other EIA Matters,Comprehensive Environmental Evaluations,0.5909090909090908
ASOC,2018,Marine Protected Areas,Site Guidelines for Visitors,0.6363636363636364
Argentina,2018,Safety and Operations in Antarctica,Institutional and legal matters,0.47058823529411764
Argentina,2018,Repair and remediation of environmental damage,Management Plans,0.375
Argentina,2018,Exchange of Information,Operational issues,0.4545454545454546
Australia,2018,Exchange of Information,Inspections,0.5
Australia,2018,Repair and remediation of environmental damage,Multiyear strategic workplan,0.5833333333333333
Belarus,2018,Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,0.48
Belarus,2018,Environmental Impact Assessment EIA Other EIA Matters,Operational issues,0.5909090909090908
Belgium,2018,Educational issues,Science issues,0.3846153846153846
Brazil,2018,Exchange of Information,Biological Prospecting,0.5909090909090908
Brazil,2018,Exchange of Information,Environmental Protection General,0.48
